Tercile Classes,Month Forecast Issued,Tercile Probability
Above_Normal,2025-02,64.59825
Below_Normal,2025-03,8.664528
Normal,2025-03,19.95413
Above_Normal,2025-03,71.38135
Below_Normal,2025-04,9.502384
Normal,2025-04,20.3914
Above_Normal,2025-04,70.10622
Below_Normal,2025-05,14.13044
Normal,2025-05,23.9646
Above_Normal,2025-05,61.90496
Below_Normal,2025-06,17.79446
Normal,2025-06,29.55464
Above_Normal,2025-06,52.6509
Below_Normal,2025-07,22.64862
Normal,2025-07,31.22557
Above_Normal,2025-07,46.12582
Below_Normal,2025-08,27.12322
Normal,2025-08,33.27788
Above_Normal,2025-08,39.5989
Below_Normal,2025-09,28.34066
Normal,2025-09,33.65702
Above_Normal,2025-09,38.00233
Below_Normal,2025-10,26.84342
Normal,2025-10,33.18588
Above_Normal,2025-10,39.9707
Below_Normal,2025-11,23.62033
Normal,2025-11,35.19001
Above_Normal,2025-11,41.18966
Below_Normal,2025-12,16.6332
Normal,2025-12,29.72414
Above_Normal,2025-12,53.64266
Below_Normal,2026-01,13.81144
Normal,2026-01,25.22943
Above_Normal,2026-01,60.95913
