Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Jan 2023,34.47697
Normal,Jan 2023,35.21762
Above_Normal,Jan 2023,30.30541
Below_Normal,Feb 2023,31.57664
Normal,Feb 2023,32.5711
Above_Normal,Feb 2023,35.85225
Below_Normal,Mar 2023,34.02904
Normal,Mar 2023,33.9732
Above_Normal,Mar 2023,31.99776
Below_Normal,Apr 2023,31.51302
Normal,Apr 2023,33.07166
Above_Normal,Apr 2023,35.41532
Below_Normal,May 2023,30.9808
Normal,May 2023,33.8391
Above_Normal,May 2023,35.1801
Below_Normal,Jun 2023,33.82495
Normal,Jun 2023,33.95636
Above_Normal,Jun 2023,32.21869
Below_Normal,Jul 2023,32.68437
Normal,Jul 2023,33.27363
Above_Normal,Jul 2023,34.042
Below_Normal,Aug 2023,35.55274
Normal,Aug 2023,33.35482
Above_Normal,Aug 2023,31.09244
Below_Normal,Sep 2023,19.52932
Normal,Sep 2023,33.51567
Above_Normal,Sep 2023,46.95501
Below_Normal,Oct 2023,16.82195
Normal,Oct 2023,30.39829
Above_Normal,Oct 2023,52.77977
Below_Normal,Nov 2023,19.17039
Normal,Nov 2023,32.75753
Above_Normal,Nov 2023,48.07208
Below_Normal,Dec 2023,25.17879
Normal,Dec 2023,33.47072
Above_Normal,Dec 2023,41.35049
Below_Normal,Jan 2024,26.9438
Normal,Jan 2024,33.63588
Above_Normal,Jan 2024,39.42032
Below_Normal,Feb 2024,23.56854
Normal,Feb 2024,34.00601
Above_Normal,Feb 2024,42.42545
Below_Normal,Mar 2024,30.90015
Normal,Mar 2024,34.41836
Above_Normal,Mar 2024,34.68149
Below_Normal,Apr 2024,29.468
Normal,Apr 2024,32.47258
Above_Normal,Apr 2024,38.05942
Below_Normal,May 2024,28.60803
Normal,May 2024,32.1853
Above_Normal,May 2024,39.20667
Below_Normal,Jun 2024,36.52539
Normal,Jun 2024,33.90133
Above_Normal,Jun 2024,29.57327
Below_Normal,Jul 2024,31.70961
Normal,Jul 2024,33.85389
Above_Normal,Jul 2024,34.4365
Below_Normal,Aug 2024,34.20049
Normal,Aug 2024,33.85179
Above_Normal,Aug 2024,31.94772
